state,modeldate,candidate_name,pct_estimate,pct_trend_adjusted,display_average
"Arizona","7/11/2024","Kamala Harris",40.45051,40.48007,""
"Arizona","7/11/2024","Donald Trump",50.95867,50.96994,""
"Arizona","7/12/2024","Donald Trump",51.09443,51.14625,""
"Arizona","7/12/2024","Kamala Harris",40.72346,40.76524,""
"Arizona","7/13/2024","Kamala Harris",40.67457,40.71558,""
"Arizona","7/13/2024","Donald Trump",51.13715,51.18963,""
"Arizona","7/14/2024","Donald Trump",51.87904,52.13655,""
"Arizona","7/14/2024","Kamala Harris",41.45662,41.32768,""
"Arizona","7/15/2024","Kamala Harris",41.20714,41.82064,""
"Arizona","7/15/2024","Convention Bounce for Donald Trump",41.4601,41.44756,""
"Arizona","7/15/2024","Donald Trump",51.7412,52.35434,""
"Arizona","7/16/2024","Donald Trump",48.70741,49.05387,""
"Arizona","7/16/2024","Kamala Harris",40.97314,41.34953,""
"Arizona","7/16/2024","Convention Bounce for Donald Trump",41.33902,41.21753,""
"Arizona","7/17/2024","Kamala Harris",40.56276,40.93458,""
"Arizona","7/17/2024","Donald Trump",48.2574,48.53207,""
"Arizona","7/17/2024","Convention Bounce for Donald Trump",41.339,41.4291,""
"Arizona","7/18/2024","Kamala Harris",40.23481,43.0079,""
"Arizona","7/18/2024","Convention Bounce for Donald Trump",41.31916,43.1227,""
"Arizona","7/18/2024","Donald Trump",47.90098,50.65523,""
"Arizona","7/19/2024","Donald Trump",47.90098,50.65523,""
"Arizona","7/19/2024","Kamala Harris",40.23481,43.0079,""
"Arizona","7/19/2024","Convention Bounce for Donald Trump",41.31916,43.1227,""
"Arizona","7/20/2024","Kamala Harris",39.86651,41.34514,""
"Arizona","7/20/2024","Donald Trump",47.66166,49.13165,""
"Arizona","7/20/2024","Convention Bounce for Donald Trump",45.31187,46.45473,""
"Arizona","7/20/2024","Robert F. Kennedy",6.08936,6.105823,""
"Arizona","7/21/2024","Kamala Harris",39.43406,39.16681,""
"Arizona","7/21/2024","Robert F. Kennedy",6.089906,6.119396,""
"Arizona","7/21/2024","Donald Trump",47.17146,47.52103,""
"Arizona","7/21/2024","Convention Bounce for Donald Trump",45.32682,47.88629,""
"Arizona","7/22/2024","Kamala Harris",39.18185,39.99783,""
"Arizona","7/22/2024","Convention Bounce for Donald Trump",45.15905,50.39202,""
"Arizona","7/22/2024","Donald Trump",47.04996,48.33763,""
"Arizona","7/22/2024","Robert F. Kennedy",6.111646,6.116871,""
"Arizona","7/23/2024","Robert F. Kennedy",4.979795,5.092834,""
"Arizona","7/23/2024","Convention Bounce for Donald Trump",46.01846,49.03366,""
"Arizona","7/23/2024","Kamala Harris",39.81745,40.65574,""
"Arizona","7/23/2024","Donald Trump",47.67886,47.64787,""
"Arizona","7/24/2024","Robert F. Kennedy",4.600042,4.536285,""
"Arizona","7/24/2024","Donald Trump",47.14167,47.34461,""
"Arizona","7/24/2024","Convention Bounce for Donald Trump",46.43279,48.644,""
"Arizona","7/24/2024","Kamala Harris",40.40278,41.24756,""
"Arizona","7/25/2024","Convention Bounce for Donald Trump",46.43238,48.5626,""
"Arizona","7/25/2024","Donald Trump",47.08821,47.22883,""
"Arizona","7/25/2024","Robert F. Kennedy",4.597486,4.529422,""
"Arizona","7/25/2024","Kamala Harris",40.42031,41.27995,""
"Arizona","7/26/2024","Convention Bounce for Donald Trump",46.41315,48.5546,""
"Arizona","7/26/2024","Donald Trump",47.18681,47.16486,""
"Arizona","7/26/2024","Kamala Harris",40.42905,41.5705,""
"Arizona","7/26/2024","Robert F. Kennedy",4.481956,4.609521,""
"Arizona","7/27/2024","Convention Bounce for Donald Trump",46.41315,48.5546,""
"Arizona","7/27/2024","Kamala Harris",40.42905,41.5705,""
"Arizona","7/27/2024","Donald Trump",47.18681,47.16486,""
"Arizona","7/27/2024","Robert F. Kennedy",4.481956,4.609521,""
"Arizona","7/28/2024","Donald Trump",47.12526,47.45119,"yes"
"Arizona","7/28/2024","Robert F. Kennedy",4.499969,4.459425,"yes"
"Arizona","7/28/2024","Kamala Harris",40.44816,41.8259,"yes"
"Arizona","7/28/2024","Convention Bounce for Donald Trump",46.42842,48.47727,"yes"
"Florida","7/16/2024","Kamala Harris",38.17101,38.18942,""
"Florida","7/16/2024","Donald Trump",48.36107,48.34617,""
"Florida","7/16/2024","Convention Bounce for Donald Trump",41.24127,41.23722,""
"Florida","7/17/2024","Convention Bounce for Donald Trump",41.24117,41.2425,""
"Florida","7/17/2024","Donald Trump",47.673,47.65689,""
"Florida","7/17/2024","Kamala Harris",37.5547,37.57399,""
"Florida","7/18/2024","Donald Trump",47.44468,49.18011,""
"Florida","7/18/2024","Kamala Harris",37.36977,39.18277,""
"Florida","7/18/2024","Convention Bounce for Donald Trump",41.25032,42.75204,""
"Florida","7/19/2024","Convention Bounce for Donald Trump",41.25032,42.75204,""
"Florida","7/19/2024","Kamala Harris",37.36977,39.18277,""
"Florida","7/19/2024","Donald Trump",47.44468,49.18011,""
"Florida","7/20/2024","Donald Trump",47.15306,49.00682,""
"Florida","7/20/2024","Kamala Harris",37.10879,38.99049,""
"Florida","7/20/2024","Convention Bounce for Donald Trump",41.2746,42.814,""
"Florida","7/21/2024","Kamala Harris",35.76267,35.31274,""
"Florida","7/21/2024","Convention Bounce for Donald Trump",41.28881,45.08902,""
"Florida","7/21/2024","Donald Trump",45.63665,46.0944,""
"Florida","7/22/2024","Convention Bounce for Donald Trump",41.13842,48.38686,""
"Florida","7/22/2024","Donald Trump",45.48519,47.3349,""
"Florida","7/22/2024","Kamala Harris",35.64608,36.81361,""
"Florida","7/23/2024","Convention Bounce for Donald Trump",41.34254,47.74908,""
"Florida","7/23/2024","Kamala Harris",35.39164,37.10436,""
"Florida","7/23/2024","Donald Trump",45.18443,45.18637,""
"Florida","7/24/2024","Kamala Harris",36.85987,37.98156,""
"Florida","7/24/2024","Donald Trump",45.74392,46.04101,""
"Florida","7/24/2024","Convention Bounce for Donald Trump",44.57647,47.63594,""
"Florida","7/24/2024","Robert F. Kennedy",4.981977,4.98381,""
"Florida","7/25/2024","Robert F. Kennedy",4.980546,4.977578,""
"Florida","7/25/2024","Convention Bounce for Donald Trump",44.57595,47.52778,""
"Florida","7/25/2024","Kamala Harris",36.79425,37.93793,""
"Florida","7/25/2024","Donald Trump",45.67095,45.88908,""
"Florida","7/26/2024","Convention Bounce for Donald Trump",44.56053,47.53571,""
"Florida","7/26/2024","Robert F. Kennedy",4.951438,5.126861,""
