state,modeldate,candidate_name,startdate,enddate,pollster,pollster_rating_id,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
"National","8/4/2024","Convention Bounce for Donald Trump","7/30/2024","8/2/2024","YouGov",391,3092,"lv",1.353623,1.353623,44.04762,44.24636,44.26876,"",200044,2000442
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/29/2024","7/30/2024","Trafalgar Group/InsiderAdvantage",671,,"lv",.8285843,.8285843,45,45.19746,45.20151,"",87658,205167
"Arizona","8/4/2024","Convention Bounce for Donald Trump","7/29/2024","7/30/2024","Public Policy Polling",263,618,"rv",.8908122,.8908122,45,46.42599,45.89432,"",87631,204847
"National","8/4/2024","Convention Bounce for Donald Trump","7/29/2024","7/31/2024","RMG Research",555,3000,"rv",1.214496,1.12733,44.76191,45.14025,45.04873,"",87656,205165
"Georgia","8/4/2024","Convention Bounce for Donald Trump","7/29/2024","7/30/2024","Public Policy Polling",263,662,"rv",.9082701,.9082701,45,46.55896,46.38029,"",87633,204849
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/29/2024","7/30/2024","Public Policy Polling",263,627,"rv",.8945254,.8945254,45,46.54295,46.15254,"",87632,204848
"National","8/4/2024","Convention Bounce for Donald Trump","7/29/2024","7/29/2024","Redfield & Wilton Strategies",562,1750,"lv",1.05666,.9456279,45.23809,45.59624,45.39385,"",87619,204785
"National","8/4/2024","Convention Bounce for Donald Trump","7/27/2024","7/30/2024","YouGov",391,1434,"rv",.9223676,.8232549,45.47619,45.67568,45.55979,"",87628,204845
"National","8/4/2024","Convention Bounce for Donald Trump","7/27/2024","7/30/2024","Civiqs",471,1123,"rv",.8738968,.782069,45.47619,46.90012,46.70079,"",87641,204936
"Pennsylvania","8/4/2024","Convention Bounce for Donald Trump","7/27/2024","7/28/2024","Quantus Polls and News",859,500,"rv",.7591876,.6985504,45.95238,46.12379,45.88728,"",87638,204875
"National","8/4/2024","Convention Bounce for Donald Trump","7/26/2024","7/29/2024","American Pulse",836,1035,"lv",.9366338,.805407,45.95238,46.21097,45.95241,"",87643,204991
"National","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/29/2024","ActiVote",721,1000,"lv",.875528,.7193125,46.42857,46.45679,46.15896,"",87639,204877
"National","8/4/2024","Convention Bounce for Donald Trump","7/26/2024","7/28/2024","Morning Consult",218,11538,"rv",1.153818,.9490178,46.19048,46.34118,46.03852,"T",87597,204617
"National","8/4/2024","Convention Bounce for Donald Trump","7/26/2024","7/27/2024","Florida Atlantic University/Mainstreet Research",770,952,"lv",.9772951,.8061405,46.42857,46.21626,45.96156,"",87617,204775
"National","8/4/2024","Convention Bounce for Donald Trump","7/26/2024","7/28/2024","Ipsos",154,876,"rv",.6775283,.5567042,46.19048,46.27089,45.86633,"",87630,204846
"New Hampshire","8/4/2024","Convention Bounce for Donald Trump","7/26/2024","7/28/2024","Emerson College",88,1000,"rv",1.329066,1.329066,46.19048,46.42495,46.0937,"",87635,204853
"National","8/4/2024","Convention Bounce for Donald Trump","7/26/2024","7/28/2024","Leger",572,786,"lv",1.001678,.8262531,46.19048,46.40027,46.03234,"",87642,204940
"National","8/4/2024","Convention Bounce for Donald Trump","7/26/2024","7/28/2024","Harris Insights & Analytics",133,2196,"rv",1.174445,.9649319,46.19048,46.08883,45.8089,"",87613,204702
"Florida","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/27/2024","University of North Florida",360,774,"lv",1.264148,1.264148,46.90476,46.6392,46.44621,"",87612,204676
"Michigan","8/4/2024","Convention Bounce for Donald Trump","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.9511118,46.66667,46.83231,46.40028,"",87645,204994
"Michigan","8/4/2024","Convention Bounce for Donald Trump","7/24/2024","7/28/2024","Morning Consult",218,706,"rv",.9296545,.9296545,46.66667,46.83949,46.41719,"",87623,204796
